model,num_layers,hidden_channels,dropout,lr,best_L,best_epoch
GraphSAGE,1,32,0.2,0.05,3.390036106109619,-1
GraphSAGE,1,64,0.5,0.001,3.392913341522217,-1
GraphSAGE,1,64,0.5,0.01,3.3952817916870117,-1
GraphSAGE,1,32,0.5,0.001,3.398087501525879,-1
GraphSAGE,1,64,0.0,0.001,3.4129114151000977,-1
GraphSAGE,3,16,0.5,0.001,3.4478580951690674,-1
GraphSAGE,1,64,0.2,0.001,3.457918405532837,-1
GraphSAGE,4,64,0.2,0.05,3.463618278503418,-1
GraphSAGE,4,16,0.5,0.01,3.4909043312072754,-1
GraphSAGE,4,32,0.5,0.001,3.4967122077941895,-1
GraphSAGE,3,16,0.5,0.05,3.5788893699645996,-1
GraphSAGE,4,32,0.2,0.05,3.6004300117492676,-1
GraphSAGE,1,16,0.5,0.001,3.602297306060791,-1
GraphSAGE,1,16,0.2,0.001,3.709878444671631,-1
GraphSAGE,1,64,0.2,0.05,3.726156234741211,-1
GraphSAGE,1,32,0.0,0.01,3.7268810272216797,-1
GraphSAGE,4,16,0.5,0.001,3.7322332859039307,-1
GraphSAGE,1,16,0.0,0.001,3.7325034141540527,-1
GraphSAGE,4,64,0.0,0.05,3.7973721027374268,-1
GraphSAGE,4,16,0.5,0.05,4.061572551727295,-1
GraphSAGE,4,16,0.2,0.05,4.432364463806152,-1
