model,num_layers,hidden_channels,dropout,lr,best_L,best_epoch,runtime_sec
GCN,2,11701,0.5,0.01,10.598554611206055,-1,374.19307125000313
GCN,2,11701,0.5,0.05,10.46589469909668,-1,366.8159278571433
GCN,2,23402,0.01,0.0001,10.351042747497559,-1,564.9295177227716
GCN,2,23402,0.01,0.001,10.428794860839844,-1,563.2541518811879
GCN,2,23402,0.01,0.01,10.423408508300781,-1,549.9254209999999
GCN,2,23402,0.01,0.05,10.553816795349121,-1,559.6265663636257
GCN,2,23402,0.2,0.0001,10.512615203857422,-1,564.6076532673274
GCN,2,23402,0.2,0.001,10.40080738067627,-1,563.3908175247535
GCN,2,23402,0.2,0.01,10.67051887512207,-1,577.9720837500008
GCN,2,23402,0.2,0.05,10.59560775756836,-1,556.190038333332
GCN,2,23402,0.5,0.0001,10.438455581665039,-1,564.1745872277241
GCN,2,23402,0.5,0.001,10.447676658630371,-1,563.0959892079214
GCN,2,23402,0.5,0.01,10.477248191833496,-1,555.6578829629736
GCN,2,23402,0.5,0.05,10.537248611450195,-1,555.9599111764863
GCN,3,5850,0.01,0.0001,10.359607696533203,-1,329.79167762375914
GCN,3,5850,0.01,0.001,10.619892120361328,-1,329.0734914851494
GCN,3,5850,0.01,0.01,10.860576629638672,-1,320.1362884158419
GCN,3,5850,0.01,0.05,10.652276992797852,-1,313.67174552631604
GCN,3,5850,0.2,0.0001,10.500094413757324,-1,329.41676336633805
GCN,3,5850,0.2,0.001,10.716565132141113,-1,329.16189574257305
GCN,3,5850,0.2,0.01,10.771339416503906,-1,320.11872029703085
GCN,3,5850,0.2,0.05,10.806966781616211,-1,314.30392233332293
GCN,3,5850,0.5,0.0001,10.44605827331543,-1,329.2215744554479
GCN,3,5850,0.5,0.001,10.566933631896973,-1,328.2071536633654
GCN,3,5850,0.5,0.01,10.786273956298828,-1,321.8729845901687
GCN,3,5850,0.5,0.05,10.727002143859863,-1,313.5385925806458
GCN,3,11701,0.01,0.0001,10.430082321166992,-1,485.1758775247536
GCN,3,11701,0.01,0.001,10.531850814819336,-1,484.5326961386121
GCN,3,11701,0.01,0.01,10.611177444458008,-1,477.8785781818277
GCN,3,11701,0.01,0.05,10.822569847106934,-1,472.32582439998805
GCN,3,11701,0.2,0.0001,10.463735580444336,-1,484.7122527722766
GCN,3,11701,0.2,0.001,10.832615852355957,-1,492.6555720000033
GCN,3,11701,0.2,0.01,10.845641136169434,-1,472.31578086419756
GCN,3,11701,0.2,0.05,11.14692497253418,-1,472.2778050000064
GCN,3,11701,0.5,0.0001,10.356988906860352,-1,483.78850742574105
GCN,3,11701,0.5,0.001,10.530191421508789,-1,482.41843782178523
GCN,3,11701,0.5,0.01,10.952058792114258,-1,475.1855356410278
GCN,3,11701,0.5,0.05,10.787548065185547,-1,471.8267072727362
GCN,3,23402,0.01,0.0001,10.490379333496094,-1,7352.336067227721
GCN,3,23402,0.01,0.001,10.84492301940918,-1,6733.254876666696
GCN,3,23402,0.01,0.01,11.080350875854492,-1,41415.95336900002
GCN,3,23402,0.01,0.05,11.277371406555176,-1,5198.323468000017
GCN,3,23402,0.2,0.0001,10.450485229492188,-1,7276.460205346536
GCN,3,23402,0.2,0.001,10.872086524963379,-1,3059.511895319148
GCN,3,23402,0.2,0.01,10.889245986938477,-1,7763.968781136366
GCN,3,23402,0.2,0.05,10.958381652832031,-1,6815.601559230765
GCN,3,23402,0.5,0.0001,10.468503952026367,-1,7249.046179702973
